name2	name	chrom	txStart	-500000	500000
GPX1	NM_000581.4	chr3	49394608	48894608	49894608
MST1	NR_146060.1	chr3	49721379	49221379	50221379
USP4	NM_001251877.2	chr3	49349217	48849217	49849217
BSN	NM_003458.4	chr3	49591909	49091909	50091909
UCN2	NM_033199.4	chr3	48599150	48099150	49099150
TXK	NM_003328.3	chr4	48068409	47568409	48568409
HADH	NM_005327.7	chr4	108911044	108411044	109411044
SLC10A4	NM_152679.4	chr4	48485359	47985359	48985359
IL2	NM_000586.4	chr4	123372624	122872624	123872624
IL21	NM_021803.4	chr4	123531262	123031262	124031262
ACSL6	NM_001205247.2	chr5	131285665	130785665	131785665
DAP	NM_004394.3	chr5	10679341	10179341	11179341
IL6ST	NM_001190981.2	chr5	55230922	54730922	55730922
HEXB	NM_000521.4	chr5	73981057	73481057	74481057
IL3	NM_000588.4	chr5	131396347	130896347	131896347
IL4	NM_000589.4	chr5	132009680	131509680	132509680
CSF2	NM_000758.4	chr5	131409481	130909481	131909481
ERAP2	NM_001329229.1	chr5	96211642	95711642	96711642
IL5	NM_000879.3	chr5	131877136	131377136	132377136
NDFIP1	NM_030571.4	chr5	141488343	140988343	141988343
CPEB4	NM_030627.4	chr5	173315351	172815351	173815351
PTGER4	NM_000958.3	chr5	40680016	40180016	41180016
TNIP1	NM_001364486.2	chr5	150409505	149909505	150909505
ERAP1	NM_001349244.2	chr5	96096516	95596516	96596516
LNPEP	NM_005575.3	chr5	96271783	95771783	96771783
SPRY4	NM_001127496.3	chr5	141689994	141189994	142189994
IRF1	NM_001354924.1	chr5	131817300	131317300	132317300
IL13	NM_001354991.2	chr5	131992213	131492213	132492213
IL31RA	NM_139017.6	chr5	55147184	54647184	55647184
BASP1	NM_001271606.2	chr5	17216931	16716931	17716931
IL12B	NM_002187.3	chr5	158741787	158241787	159241787
SLC22A4	NM_003059.3	chr5	131630086	131130086	132130086
SLC22A5	NM_003060.4	chr5	131705401	131205401	132205401
PDLIM4	NM_003687.4	chr5	131593388	131093388	132093388
CCR6	NM_004367.6	chr6	167525282	167025282	168025282
TAGAP	NM_054114.5	chr6	159455512	158955512	159955512
HLA-DQA2	NM_020056.5	chr6	32709167	32209167	33209167
FYN	NM_153047.4	chr6	111981534	111481534	112481534
MICB	NM_001289160.2	chr6	31462694	30962694	31962694
TRAF3IP2	NM_147686.4	chr6	111876583	111376583	112376583
PHACTR2	NM_014721.3	chr6	143929316	143429316	144429316
RPS6KA2	NM_001318936.2	chr6	166822851	166322851	167322851
NFKBIL1	NM_005007.4	chr6	31515384	31015384	32015384
PRDM1	NM_182907.3	chr6	106546815	106046815	107046815
TNF	NM_000594.4	chr6	31543341	31043341	32043341
LTA	NM_000595.4	chr6	31540065	31040065	32040065
LTB	NM_009588.1	chr6	31548334	31048334	32048334
LST1	NM_001166538.1	chr6	31554976	31054976	32054976
HLA-C	NM_002117.6	chr6	31236525	30736525	31736525
BACH2	NM_021813.4	chr6	90636246	90136246	91136246
REV3L	NM_001286431.2	chr6	111620235	111120235	112120235
FGFR1OP	NM_194429.3	chr6	167412884	166912884	167912884
CDKAL1	NM_017774.3	chr6	20534687	20034687	21034687
RNASET2	NM_003730.6	chr6	167335600	166835600	167835600
PSORS1C1	NM_014068.3	chr6	31082576	30582576	31582576
SMURF1	NM_001199847.2	chr7	98625062	98125062	99125062
IKZF1	NM_001220765.3	chr7	50344311	49844311	50844311
FIGNL1	NM_001042762.5	chr7	50511830	50011830	51011830
CREB5	NM_004904.4	chr7	28475233	27975233	28975233
IRF5	NM_001364314.2	chr7	128581321	128081321	129081321
EPO	NM_000799.4	chr7	100318090	99818090	100818090
ZPBP	NM_007009.3	chr7	49977036	49477036	50477036
JAZF1	NM_175061.4	chr7	27870195	27370195	28370195
GNA12	NM_001282440.1	chr7	2767738	2267738	3267738
CNTNAP2	NM_014141.6	chr7	145813892	145313892	146313892
TRIB1	NM_025195.4	chr8	126442599	125942599	126942599
RIPK2	NM_001375360.1	chr8	90770043	90270043	91270043
MFHAS1	NM_004225.3	chr8	8640863	8140863	9140863
INPP5E	NM_001318502.2	chr9	139323070	138823070	139823070
JAK2	NR_169763.1	chr9	4984389	4484389	5484389
TNFSF15	NM_005118.4	chr9	117546931	117046931	118046931
PMPCA	NM_015160.3	chr9	139305109	138805109	139805109
TNFSF8	NM_001244.4	chr9	117663424	117163424	118163424
TNC	NM_002160.4	chr9	117781853	117281853	118281853
SDCCAG3	NM_006643.4	chr9	139296373	138796373	139796373
SNAPC4	NM_003086.3	chr9	139270020	138770020	139770020
CARD9	NM_052813.5	chr9	139258407	138758407	139758407
PFKFB3	NM_001314063.2	chr10	6244894	5744894	6744894
IL15RA	NR_046362.2	chr10	5994346	5494346	6494346
ABI1	NR_145410.2	chr10	27035524	26535524	27535524
IL2RA	NM_000417.3	chr10	6052651	5552651	6552651
ZMIZ1	NM_020338.4	chr10	80828722	80328722	81328722
PLAU	NM_001319191.2	chr10	75670889	75170889	76170889
ZNF365	NM_014951.3	chr10	64134127	63634127	64634127
MAP3K8	NM_005204.4	chr10	30723112	30223112	31223112
TSPAN14	NM_030927.4	chr10	82214065	81714065	82714065
NKX2-3	NM_145285.3	chr10	101292698	100792698	101792698
UBE2D1	NM_003338.5	chr10	60094765	59594765	60594765
IPMK	NM_152230.5	chr10	59951277	59451277	60451277
CISD1	NM_018464.5	chr10	60028921	59528921	60528921
ESRRA	NM_004451.5	chr11	64072995	63572995	64572995
SNX32	NM_152760.3	chr11	65601433	65101433	66101433
CARS	NR_036542.2	chr11	3022158	2522158	3522158
CD6	NM_001254750.2	chr11	60739151	60239151	61239151
GPR44	NM_004778.3	chr11	60618405	60118405	61118405
PRDX5	NM_001358511.2	chr11	64085592	63585592	64585592
TRPT1	NM_001330298.2	chr11	63991287	63491287	64491287
FOSL1	NM_005438.5	chr11	65659519	65159519	66159519
RPS6KA4	NM_001300802.2	chr11	64126633	63626633	64626633
FLRT1	NM_001384466.1	chr11	63804153	63304153	64304153
CTSW	NM_001335.4	chr11	65647307	65147307	66147307
FADS2	NM_001281501.1	chr11	61583674	61083674	62083674
CXCR5	NM_001716.5	chr11	118754600	118254600	119254600
RELA	NM_021975.4	chr11	65421071	64921071	65921071
PAK1	NM_001128620.2	chr11	77033061	76533061	77533061
CCDC88B	NM_032251.6	chr11	64107675	63607675	64607675
CD5	NM_001346456.2	chr11	60861434	60361434	61361434
FADS1	NM_013402.7	chr11	61567098	61067098	62067098
LRRK2	NM_198578.4	chr12	40618798	40118798	41118798
AKAP11	NM_016248.4	chr13	42846287	42346287	43346287
TNFSF11	NM_033012.4	chr13	43136871	42636871	43636871
KCTD12	NM_138444.4	chr13	77454309	76954309	77954309
GPR18	NM_005292.4	chr13	99906992	99406992	100406992
EBI2	NM_004951.5	chr13	99946792	99446792	100446792
MLH3	NM_001040108.2	chr14	75480477	74980477	75980477
GPR65	NM_003608.4	chr14	88471478	87971478	88971478
ZFP36L1	NM_001244701.1	chr14	69254371	68754371	69754371
FOS	NM_005252.4	chr14	75745530	75245530	76245530
GALC	NM_000153.4	chr14	88399357	87899357	88899357
RASGRP1	NM_005739.4	chr15	38780303	38280303	39280303
SMAD3	NM_005902.4	chr15	67357939	66857939	67857939
SPRED1	NM_152594.3	chr15	38545036	38045036	39045036
ADCY7	NM_001286057.2	chr16	50300461	49800461	50800461
PRKCB	NM_212535.3	chr16	23847303	23347303	24347303
LITAF	NM_004862.4	chr16	11641577	11141577	12141577
XYLT1	NM_022166.4	chr16	17195625	16695625	17695625
EIF3C	NM_001199142.1	chr16	28699878	28199878	29199878
SOCS1	NM_003745.1	chr16	11348273	10848273	11848273
IL27	NM_145659.3	chr16	28510682	28010682	29010682
NUPR1	NM_001042483.2	chr16	28544028	28044028	29044028
SULT1A2	NM_177528.3	chr16	28603263	28103263	29103263
SULT1A1	NM_177529.2	chr16	28616907	28116907	29116907
SH2B1	NM_001387404.1	chr16	28857926	28357926	29357926
RABEP2	NM_024816.3	chr16	28915741	28415741	29415741
CD19	NM_001385732.1	chr16	28943291	28443291	29443291
LAT	NM_001014989.2	chr16	28996123	28496123	29496123
BRD7	NM_001173984.3	chr16	50349867	49849867	50849867
NOD2	NM_001370466.1	chr16	50727516	50227516	51227516
ZFP90	NM_133458.4	chr16	68573193	68073193	69073193
IRF8	NM_002163.4	chr16	85932767	85432767	86432767
GSDMB	NM_001042471.2	chr17	38060847	37560847	38560847
STAT5A	NM_001288718.2	chr17	40440515	39940515	40940515
IKZF3	NM_001284514.2	chr17	37913970	37413970	38413970
CYTH1	NM_004762.4	chr17	76670129	76170129	77170129
NOS2A	NM_000625.4	chr17	26083791	25583791	26583791
LGALS9	NM_009587.3	chr17	25958213	25458213	26458213
RPS6KB1	NR_161455.1	chr17	57970481	57470481	58470481
CCL13	NM_005408.3	chr17	32683498	32183498	33183498
GSDMA	NM_178171.5	chr17	38119256	37619256	38619256
ORMDL3	NM_001320801.2	chr17	38077295	37577295	38577295
MLX	NM_198204.2	chr17	40719117	40219117	41219117
STAT3	NM_213662.2	chr17	40465341	39965341	40965341
SLC39A11	NM_139177.4	chr17	70642087	70142087	71142087
CCL7	NM_006273.4	chr17	32597239	32097239	33097239
TUBD1	NM_016261.4	chr17	57936839	57436839	58436839
LGALS9C	NM_001040078.3	chr17	18380102	17880102	18880102
ZPBP2	NM_198844.3	chr17	38024454	37524454	38524454
STAT5B	NM_012448.4	chr17	40351194	39851194	40851194
CCL2	NM_002982.4	chr17	32582303	32082303	33082303
CCL11	NM_002986.3	chr17	32612760	32112760	33112760
DLGAP1	NM_004746.4	chr18	3496029	2996029	3996029
PTPN2	NM_001207013.2	chr18	12785476	12285476	13285476
NFATC1	NM_172390.3	chr18	77155929	76655929	77655929
GPX4	NM_001367832.1	chr19	1104055	604055	1604055
ICAM1	NM_000201.3	chr19	10381795	9881795	10881795
IZUMO1	NM_182575.3	chr19	49244108	48744108	49744108
SPHK2	NM_020126.5	chr19	49122762	48622762	49622762
FUT2	NM_000511.6	chr19	49199227	48699227	49699227
SBNO2	NM_014963.3	chr19	1107636	607636	1607636
ICAM3	NM_001320605.2	chr19	10444451	9944451	10944451
DBP	NM_001352.5	chr19	49133286	48633286	49633286
HMHA1	NM_001321232.2	chr19	1067496	567496	1567496
TYK2	NM_001385200.1	chr19	10461208	9961208	10961208
PPAN-P2RY11	NM_001040664.3	chr19	10217037	9717037	10717037
RASIP1	NM_017805.3	chr19	49223841	48723841	49723841
HCK	NM_001172130.3	chr20	30640044	30140044	31140044
ZNF831	NM_001384354.1	chr20	57698442	57198442	58198442
SIRPG	NM_018556.4	chr20	1609797	1109797	2109797
DNMT3B	NM_001207056.2	chr20	31350190	30850190	31850190
PLTP	NM_001242921.1	chr20	44527258	44027258	45027258
MMP9	NM_004994.3	chr20	44637546	44137546	45137546
CD40	NM_001322422.2	chr20	44746952	44246952	45246952
CEBPB	NM_001285879.1	chr20	48807119	48307119	49307119
CTSZ	NM_001336.4	chr20	57570239	57070239	58070239
RTEL1	NM_001283010.1	chr20	62289162	61789162	62789162
TNFRSF6B	NM_003823.4	chr20	62328004	61828004	62828004
ZGPAT	NM_001083113.2	chr20	62338793	61838793	62838793
LIME1	NM_001305654.2	chr20	62367052	61867052	62867052
SLC2A4RG	NM_020062.4	chr20	62371128	61871128	62871128
IFNAR2	NM_001289126.2	chr21	34602242	34102242	35102242
IL10RB	NM_000628.5	chr21	34638671	34138671	35138671
IFNAR1	NM_001384504.1	chr21	34696699	34196699	35196699
IFNGR2	NM_001329128.2	chr21	34775187	34275187	35275187
TMEM50B	NR_040016.2	chr21	34804792	34304792	35304792
GART	NM_001136005.1	chr21	34876237	34376237	35376237
PSMG1	NM_003720.4	chr21	40546694	40046694	41046694
ICOSLG	NM_001365759.2	chr21	45642873	45142873	46142873
MTMR3	NM_153051.3	chr22	30279162	29779162	30779162
MAPK1	NM_002745.5	chr22	22113945	21613945	22613945
UBE2L3	NM_001256355.1	chr22	21903735	21403735	22403735
YDJC	NM_001017964.2	chr22	21982377	21482377	22482377
CCDC116	NM_001331066.2	chr22	21987048	21487048	22487048
LIF	NM_002309.5	chr22	30636441	30136441	31136441
OSM	NM_001319108.2	chr22	30658817	30158817	31158817
TOM1	NM_001135729.2	chr22	35695267	35195267	36195267
APOBEC3G	NM_001349436.1	chr22	39473009	38973009	39973009
ATF4	NM_001675.4	chr22	39916563	39416563	40416563
